"","MES","INDICE","QTD_EMPRESAS","VLR_MERCADO_EM_REAIS","VLR_MERCADO_EM_DOLARES","MEDIA_INDICE","MEDIA_VLR_EM_REAIS","MEDIA_INDICE_PADRONIZADA","MEDIA_VLR_EM_REAIS_PADRONIZADA"
"152",2018-06-01,2713.38,30,1180417182613.41,306140666687.44,90.446,39347239420.447,0.465292270268471,0.515104849402269
"153",2018-07-01,2801.71,30,1282287531991.67,341497118962.34,93.3903333333333,42742917733.0557,0.490323014490042,0.580187938494774
"154",2018-08-01,2747.73,30,1227640329265.87,296868505130.43,91.591,40921344308.8623,0.475026291144855,0.545274847635989
"155",2018-09-01,2694.22,30,1228909678328.2,306928164621.53,89.8073333333333,40963655944.2733,0.459862755275996,0.54608581136211
"156",2018-10-01,2973.73,30,1399020522234.22,376313452466.36,99.1243333333333,46634017407.8073,0.539069630826446,0.654766494967378
"157",2018-11-01,3097.42,30,1485083467290.38,384408010584.31,103.247333333333,49502782243.0127,0.574120607309703,0.709750524715379
"158",2018-12-01,3108.65,31,1478117685700.13,381469414085.92,100.279032258065,47681215667.7461,0.548886105445897,0.674837565126187
"159",2019-01-01,3394.47,30,1880452652279.3,506164747188.33,113.149,62681755075.9767,0.658297926125706,0.962344611690764
"160",2019-02-01,3274.65,29,1566885341803.15,421761282819.62,112.918965517241,54030529027.6948,0.656342327472902,0.796531344406568
"161",2019-03-01,3145.5,29,1517320908863.71,408419937246.26,108.465517241379,52321410650.4728,0.618482101718199,0.763773617268119
"162",2019-04-01,3139.54,29,1505247468190.71,405170107989.21,108.26,51905085110.0245,0.61673493218279,0.755794135778406
"163",2019-05-01,3217.94,28,1542013137427.42,415066387830.02,114.926428571429,55071897765.265,0.673408429899127,0.816490683332687
"164",2019-06-01,3308.6,28,1577980860933.52,415323698724.42,118.164285714286,56356459319.0543,0.700934516382374,0.841111164530698
"165",2019-07-01,3433.77,28,1550018841821.85,407964110602.17,122.634642857143,55357815779.3518,0.738938489966184,0.821970715853691
"166",2019-08-01,3509.56,28,1544193160402.49,406430794441.85,125.341428571429,55149755728.6604,0.761949763896973,0.817982943877334
"167",2019-09-01,3581.13,28,1576870980307.91,415031578751.37,127.8975,56316820725.2825,0.783679766208974,0.840351433516022
"168",2019-10-01,3566.05,28,1608756404226.75,423423804870.96,127.358928571429,57455585865.2411,0.779101193694443,0.862177515446152
"169",2019-11-01,3748.84,27,1599119911243.23,420887485193.26,138.845925925926,59226663379.3789,0.876755929114216,0.896122779110958
"170",2019-12-01,4140.26,27,1745452976233.92,459402267788.06,153.342962962963,64646406527.1822,1,1
"171",2020-01-01,4182.17,30,1754989737018.72,461912338005.68,139.405666666667,58499657900.624,0.881514468900882,0.88218866698707
"172",2020-02-01,3941.63,30,1654992263454.24,435593057707.58,131.387666666667,55166408781.808,0.813350818781368,0.818302123741235
"173",2020-03-01,2739.22,30,1174774172380.13,309199919034.61,91.3073333333333,39159139079.3377,0.472614747690473,0.511499634145779
"174",2020-04-01,3084.64,30,1247195574554.29,328261192439.43,102.821333333333,41573185818.4763,0.570499041463992,0.557768333513869
"175",2020-05-01,3350.37,30,1306333308503.51,343826211639.62,111.679,43544443616.7837,0.64580097355952,0.595550342026028
"176",2020-06-01,3569.77,30,1412385439823.43,371739074544.29,118.992333333333,47079514660.781,0.707974021020321,0.663305094544992
"177",2020-07-01,3956.81,30,1562766134483.05,411319191052.03,131.893666666667,52092204482.7683,0.817652490889185,0.759380549356513
"178",2020-08-01,3801.06,30,1463059277965.98,385076401001.73,126.702,48768642598.866,0.773516428254637,0.695679675987181
"179",2020-09-01,3594.96,30,1379763673049.96,363153043388.41,119.832,45992122434.9987,0.715112302996336,0.642463648862017
"180",2020-10-01,3559.31,30,1402063568054.26,369022363545.38,118.643666666667,46735452268.4753,0.705009891227979,0.656710640868781
"181",2020-11-01,3881.22,30,1563655591711.25,411553295707.54,129.374,52121853057.0417,0.796231977408957,0.759948807189928
"182",2020-12-01,4153.31,30,1705540169464.74,448897238896.85,138.443666666667,56851338982.158,0.873336191099064,0.850596249464761
"183",2021-01-01,4009.9,39,2252429596909.28,427292483383.76,102.817948717949,57754605048.9559,0.570470267737518,0.867908650843112
"184",2021-02-01,3840.9,39,2102253608144.31,387998524998,98.4846153846154,53903938670.3669,0.533631178540142,0.794105057006601
"185",2021-03-01,3999.96,40,2217667229635.56,402611965730.28,99.999,55441680740.889,0.546505459292132,0.823578109211065
"186",2021-04-01,3961.88,40,2186609127324.68,401772954454.79,99.047,54665228183.117,0.538412194773078,0.808696272257918
"187",2021-05-01,4176,40,2360729693029.46,451546392194.01,104.4,59018242325.7365,0.583919805036205,0.892128087990603
"188",2021-06-01,4229.45,40,2387547101569.74,485214628616.4,105.73625,59688677539.2435,0.595279704945434,0.904977949112432
"189",2021-07-01,4013.12,40,2304725305130.82,446055721057.3,100.328,57618132628.2705,0.54930239629504,0.86529295939756
"190",2021-08-01,4017.02,40,2303288129323,424381495619.02,100.4255,57582203233.075,0.550131275801981,0.864604320541557
"191",2021-09-01,3884.01,40,2195129075521.78,403560884568.49,97.10025,54878226888.0445,0.521862233951157,0.812778700689937
"192",2021-10-01,3632.21,41,2042317706336.48,363893825517.85,88.5904878048781,49812626983.8166,0.449517951977029,0.715689147580715
"193",2021-11-01,3607.97,41,2048618941781.16,377980948316.6,87.9992682926829,49966315653.199,0.444491800820494,0.71863481334793
"194",2021-12-01,3670.5,41,2004627569132.4,355701611003.5,89.5243902439024,48893355344.6927,0.457457363189229,0.698069976245445
"195",2022-01-01,3812.17,46,1850786691222.46,343030487308.14,82.8732608695652,40234493287.4448,0.40091392896973,0.532110353798569
"196",2022-02-01,3681.58,46,1791331147252.64,348548691919.78,80.034347826087,38941981462.0139,0.376779397239202,0.507337494138901
"197",2022-03-01,3957.14,46,1929509854438.06,406332362051.51,86.0247826086956,41945866400.8274,0.427706049844029,0.564911296218592
"198",2022-04-01,3554.55,46,1716645383750.32,364019971956.07,77.2728260869565,37318377907.6157,0.353302794392667,0.476218782337066
"199",2022-05-01,3625.99,48,1850388271448.72,391898566470.83,75.5414583333333,38549755655.1817,0.338583868752086,0.499819918921114
"200",2022-06-01,3178.09,48,1659505568171.52,317126665857.18,66.2102083333333,34573032670.24,0.259255849273699,0.42360026779452
"201",2022-07-01,3317.98,48,1717270307632.39,330982635809.18,69.1245833333333,35776464742.3415,0.284031907868991,0.446665785065262
"202",2022-08-01,3656.84,NA,NA,NA,NA,NA,NA,NA
